Time, Velocity
351,200.0
629,560.0
880,780.0
1155,1000.0
1468,1120.0
1727,1220.0
1997,1300.0
2260,1400.0
2534,1480.0
2797,1560.0
3078,1640.0
3331,1700.0
3599,1740.0
3876,1700.0
4152,1680.0
4411,1700.0
4671,1700.0
4950,1700.0
5220,1680.0
5502,1660.0
5758,1660.0
6008,1600.0
6285,1560.0
6553,1560.0
6811,1580.0
7082,1600.0
7348,1640.0
7619,1700.0
7870,1720.0
8145,1680.0
8400,1700.0
8667,1720.0
8958,1700.0
9209,1620.0
9495,1520.0
9759,1520.0
10018,1540.0
10271,1540.0
